Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Markers,Segment id,
84,0,00:01:24,2023-07-11,16:52:01,1,97.39226916,1,0.064197124,7.485571603,0.361055972,1,0.293357977,3.59375,1.625,80.91130148,28.17670676,63.57750275,0.129597193,0,1,28.8,-0.02538543,28.8,,4,
85,0,00:01:25,2023-07-11,16:52:02,1,97.21991348,1,0.337097603,7.38844941,0,0,0,0,0,80.91130148,28.17670676,63.57750275,0.058051034,0,0,28.8,-0.024967304,28.8,,4,
86,0,00:01:26,2023-07-11,16:52:03,1,97.10899291,1,0.276010169,7.358292973,0,0,0,0,0,80.91130148,28.17670676,63.57750275,0.03954358,0,0,28.8,-0.024500502,28.8,,4,
87,0,00:01:27,2023-07-11,16:52:04,1,97.0580948,1,0.214956936,7.401653093,0,0,0,0,0,80.91130148,28.17670676,63.57750275,0.018441252,0,0,28.8,-0.023923973,28.8,,4,
88,0,00:01:28,2023-07-11,16:52:05,1,97.05053615,1,0.16740863,7.449932678,0,0,0,0,0,79.45627847,29.41728187,62.88307871,0.016917829,0,0,28.8,-0.023420441,28.8,,4,
89,0,00:01:29,2023-07-11,16:52:06,1,97.06651632,1,0.130377972,7.468079762,0,0,0,0,0,79.45627847,29.41728187,62.88307871,0.028239605,0,0,28.8,-0.023236764,28.8,,4,
90,0,00:01:30,2023-07-11,16:52:07,1,97.09302898,1,0.14114131,7.456130418,0.191980021,1,0.167982519,2.9375,1.75,79.45627847,29.41728187,62.88307871,0.019158719,0,0,28.8,-0.023788694,28.8,,4,
91,0,00:01:31,2023-07-11,16:52:08,1,97.11520714,1,0.170371501,7.427619122,0,0,0,0,0,79.45627847,29.41728187,62.88307871,0.018525558,0,0,28.8,-0.025248759,28.8,,4,
92,0,00:01:32,2023-07-11,16:52:09,1,97.12179948,1,0.132685458,7.422449452,0,0,0,0,0,80.42262156,28.70781498,63.2173123,0.01644143,0,0,28.8,-0.027353579,28.8,,4,
93,0,00:01:33,2023-07-11,16:52:10,1,97.11558277,1,0.103335539,7.439611848,0,0,0,0,0,80.42262156,28.70781498,63.2173123,0.01629622,0,0,28.8,-0.029620435,28.8,,4,
94,0,00:01:34,2023-07-11,16:52:11,1,97.10024391,1,0.080477799,7.441965868,0,0,0,0,0,80.42262156,28.70781498,63.2173123,0.014324303,0,0,28.8,-0.03106033,28.8,,4,
95,0,00:01:35,2023-07-11,16:52:12,1,97.08140407,1,0.062676173,7.416300407,0,0,0,0,0,80.42262156,28.70781498,63.2173123,0.014848746,0,0,28.8,-0.030587344,28.8,,4,
96,0,00:01:36,2023-07-11,16:52:13,1,97.06634388,1,0.048812252,7.368628295,0,0,0,0,0,80.25332591,28.49653684,63.50879494,0.018247588,0,0,28.8,-0.027729325,28.8,,4,
97,0,00:01:37,2023-07-11,16:52:14,1,97.05733302,1,0.03801502,7.313079114,0,0,0,0,0,80.25332591,28.49653684,63.50879494,0.015510222,0,0,28.7,-0.022446917,28.7,,4,
98,0,00:01:38,2023-07-11,16:52:15,1,97.05693386,1,0.029606128,7.258464871,0,0,0,0,0,80.25332591,28.49653684,63.50879494,0.009699514,0,0,28.7,-0.015072911,28.7,,4,
99,0,00:01:39,2023-07-11,16:52:16,1,97.06418858,1,0.023057275,7.210338154,0,0,0,0,0,80.25332591,28.49653684,63.50879494,0.022539326,0,0,28.7,-0.007322661,28.7,,4,
100,0,00:01:40,2023-07-11,16:52:17,1,97.07875457,1,0.017957024,7.176437504,0,0,0,0,0,85.56753288,41.26966669,49.07575347,0.084638844,0,0,28.7,-0.000938852,28.7,,5,
101,0,00:01:41,2023-07-11,16:52:18,1,97.09698033,1,0.013984944,7.167620302,0,0,0,0,0,85.56753288,41.26966669,49.07575347,0.124357432,0,0,28.7,0.003310592,28.7,,5,
102,0,00:01:42,2023-07-11,16:52:19,1,97.11297994,1,0.010891486,7.169150698,0,0,0,0,0,85.56753288,41.26966669,49.07575347,0.180444606,0,1,28.7,0.005357479,28.7,,5,
103,0,00:01:43,2023-07-11,16:52:20,1,97.12286162,1,0.008482298,7.163877257,0,0,0,0,0,85.56753288,41.26966669,49.07575347,0.329500062,0,2,28.7,0.00561546,28.7,,5,
104,0,00:01:44,2023-07-11,16:52:21,1,97.12114256,2,0.299168867,7.149397938,0.561521745,1,0.245665763,0,0.875,71.22519032,70.01299856,28.00107263,0.389301898,0,1,28.7,0.004828227,28.7,,5,
105,0,00:01:45,2023-07-11,16:52:22,1,97.11117678,2,0.96993243,7.172400033,1.219594905,1,0.590741282,0,0.96875,71.22519032,70.01299856,28.00107263,0.273389204,0,1,28.7,0.003661568,28.7,,5,
106,0,00:01:46,2023-07-11,16:52:23,1,97.10115924,2,1.016537172,7.409688138,0,0,0,0,0,71.22519032,70.01299856,28.00107263,0.116503328,0,0,28.7,0.002861869,28.7,,5,
107,0,00:01:47,2023-07-11,16:52:24,1,97.0941224,2,0.791679946,7.847003879,0,0,0,0,0,71.22519032,70.01299856,28.00107263,0.160687562,0,0,28.7,0.002877808,28.7,,5,
